ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,TotalSpend,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO
5524,1957,0.23569583676205916,-0.8252176496158384,-0.9298943792539407,04-09-2012,0.30703926349227456,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,0.9853447295662141,1.6794168065208526,False,True,False,False,False,False,False,True,False,False,False
2174,1954,-0.235454185332179,1.0325587676097676,0.9069340242106335,08-03-2014,-0.38366417634974903,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,1.2357329535285873,-0.9612754470850355,False,True,False,False,False,False,False,True,False,False,False
4141,1965,0.7739989186443602,-0.8252176496158384,-0.9298943792539407,21-08-2013,-0.7980862402549632,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,0.3176427989998855,0.2826732937645306,False,True,False,False,False,False,False,False,True,False,False
6182,1984,-1.0223554177564882,1.0325587676097676,-0.9298943792539407,10-02-2014,-0.7980862402549632,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,-1.2681492860951449,-0.9180943158939959,False,True,False,False,False,False,False,False,True,False,False
5324,1981,0.24188782026423034,1.0325587676097676,-0.9298943792539407,19-01-2014,1.550305455207917,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,-1.0177610621327717,-0.30525441552885585,False,False,False,True,False,False,True,False,False,False,False
7446,1967,0.41046956464592316,-0.8252176496158384,0.9069340242106335,09-09-2013,-1.143437960175975,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,0.15071731635830335,0.18302452947751596,False,False,True,False,False,False,False,False,True,False,False
965,1971,0.13570529027215936,-0.8252176496158384,0.9069340242106335,13-11-2012,-0.5218048643181538,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,-0.18313364892486095,-0.026237875525214806,False,True,False,False,False,True,False,False,False,False,False
6177,1985,-0.7503875230288662,1.0325587676097676,-0.9298943792539407,08-05-2013,-0.5908752083023561,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,-1.351612027415936,-0.7254400382724343,False,False,False,True,False,False,True,False,False,False,False
4855,1974,-0.8743470379142674,1.0325587676097676,-0.9298943792539407,06-06-2013,-1.0398324441996714,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,-0.43352187288723415,-0.9297200050608143,False,False,False,True,False,False,False,False,True,False,False
5899,1950,-1.861189415037717,1.0325587676097676,0.9069340242106335,13-03-2014,0.6523909834132863,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,1.5695839188117515,-0.9247375668464636,False,False,False,True,False,False,False,False,True,False,False
